Folhas amareladas,Reduza a frequência de rega e verifique se o solo está encharcado.
Pragas visíveis,Use um inseticida natural ou remova manualmente as pragas com um pano úmido.
Manchas nas folhas,Aplique fungicida específico e evite molhar as folhas durante a rega.
Folhas murchas,Aumente a frequência da rega e verifique a drenagem do vaso.
Crescimento lento,Reforce a adubação com nutrientes ricos em nitrogênio.
Folhas queimadas,Evite exposição direta ao sol nas horas mais quentes do dia.
Folhas caindo,Verifique a umidade do ar e a temperatura do ambiente.
Cor desbotada,Reavalie a iluminação: pode ser excesso ou falta de luz.
Raízes expostas,Transplante a planta para um vaso maior e cubra com substrato adequado.
Presença de mofo no solo,Reduza a rega e deixe o vaso em local mais ventilado.
